date,alt_baro,gs,ias,tas,mach,true_heading,baro_rate,lat,lon,seen,distance_frm_centre,icao_id,registration,type,description
2026-07-24,12425,374.0,303.0,368.0,0.572,117.81,2368.0,-26.418869,28.42645,0.2,45.0,7c1474,VH-EBQ,A332,AIRBUS A-330-200
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24100,446.9,320.0,462.0,0.748,220.56,1920.0,-26.492203,27.530857,0.0,61.0,76cdb2,9V-SMR,A359,AIRBUS A-350-900
2026-07-25,10675,348.1,299.0,356.0,0.548,288.61,-2944.0,-26.544846,28.47392,3.9,57.0,00b22f,ZS-SZM,A320,AIRBUS A-320
2026-07-24,12425,374.0,303.0,368.0,0.572,117.81,2368.0,-26.418869,28.42645,0.2,45.0,7c1474,VH-EBQ,A332,AIRBUS A-330-200
2026-07-25,10250,265.1,220.0,260.0,0.4,100.74,2560.0,-26.006128,28.346892,0.0,37.0,008deb,ZS-FGK,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24100,446.9,320.0,462.0,0.748,220.56,1920.0,-26.492203,27.530857,0.0,61.0,76cdb2,9V-SMR,A359,AIRBUS A-350-900
2026-07-25,10675,348.1,299.0,356.0,0.548,288.61,-2944.0,-26.544846,28.47392,3.9,57.0,00b22f,ZS-SZM,A320,AIRBUS A-320
2026-07-25,17100,328.6,258.0,340.0,0.532,120.51,-2304.0,-25.884487,27.739898,0.0,47.0,4b18fd,HB-JMB,A343,AIRBUS A-340-300
2026-07-24,12425,374.0,303.0,368.0,0.572,117.81,2368.0,-26.418869,28.42645,0.2,45.0,7c1474,VH-EBQ,A332,AIRBUS A-330-200
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,24100,446.9,320.0,462.0,0.748,220.56,1920.0,-26.492203,27.530857,0.0,61.0,76cdb2,9V-SMR,A359,AIRBUS A-350-900
2026-07-25,10675,348.1,299.0,356.0,0.548,288.61,-2944.0,-26.544846,28.47392,3.9,57.0,00b22f,ZS-SZM,A320,AIRBUS A-320
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,23000,426.5,311.0,440.0,0.712,220.48,1920.0,-26.569131,27.449869,0.0,72.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,23000,426.5,311.0,440.0,0.712,220.48,1920.0,-26.569131,27.449869,0.0,72.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,23000,426.5,311.0,440.0,0.712,220.48,1920.0,-26.569131,27.449869,0.0,72.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,23000,426.5,311.0,440.0,0.712,220.48,1920.0,-26.569131,27.449869,0.0,72.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-25,23000,426.5,311.0,440.0,0.712,220.48,1920.0,-26.569131,27.449869,0.0,72.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
2026-07-26,16750,385.6,301.0,388.0,0.624,46.67,-3008.0,-26.424774,27.32818,0.0,76.0,00b089,ZS-SJG,B738,BOEING 737-800
2026-07-25,24975,416.8,292.0,430.0,0.7,148.8,2368.0,-26.508287,28.873708,0.0,89.0,00b08a,ZS-SJH,B738,BOEING 737-800
2026-07-25,21725,390.4,283.0,396.0,0.636,127.4,1664.0,-26.382782,28.815607,0.1,79.0,008dea,ZS-FGJ,B738,BOEING 737-800
2026-07-25,15600,316.3,251.0,322.0,0.504,199.63,-1664.0,-25.860234,28.716149,0.0,77.0,00af60,ZS-SZC,A320,AIRBUS A-320
2026-07-26,22250,404.0,290.0,408.0,0.66,317.54,1408.0,-25.540237,27.841695,0.0,77.0,09014d,D2-TAF,BCS3,AIRBUS A220-300
2026-07-25,21575,358.3,254.0,356.0,0.572,121.2,-960.0,-25.741379,27.484233,0.0,76.0,00b22b,ZS-SZI,A320,AIRBUS A-320
